    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD,STDERRofAVG
  POGhosts,      ONE_MODULE,0,5364.2,4158.3964,280,16300,415.8,536420,4589398000,4158.3964,514.465038
  POGhosts,      ONE_MODULE,1,8182.6,4275.5378,550,18320,427.6,818260,8505236400,4275.5378,
  POGhosts,      ONE_MODULE,2,5558.1,4572.6059,140,17320,457.3,555810,5159211300,4572.6059,
  POGhosts,      ONE_MODULE,3,2755.4,3913.9784,100,16720,391.4,275540,2275826400,3913.9784,
  POGhosts,      ONE_MODULE,4,8764.3,4087.6355,1340,16330,408.8,876430,9335463100,4087.6355,
  POGhosts,      ONE_MODULE,5,3271.6,4099.1898,230,18180,409.9,327160,2733869000,4099.1898,
  POGhosts,      ONE_MODULE,6,4125.7,3685.5687,260,15440,368.6,412570,3046898300,3685.5687,
  POGhosts,      ONE_MODULE,7,1108.2,1928.5256,110,13900,192.9,110820,491012600,1928.5256,
  POGhosts,      ONE_MODULE,8,3374.9,4205.068,280,16290,420.5,337490,2889572100,4205.068,
  POGhosts,      ONE_MODULE,9,6089.4,4949.3262,270,18740,494.9,608940,6133166400,4949.3262,
  POGhosts,      ONE_MODULE,10,1493.8,2460.2405,90,16780,246,149380,822369400,2460.2405,
  POGhosts,      ONE_MODULE,11,2190.3,3317.8277,100,17070,331.8,219030,1569531500,3317.8277,
  POGhosts,      ONE_MODULE,12,6176.1,5268.3049,140,18840,526.8,617610,6562169700,5268.3049,
  POGhosts,      ONE_MODULE,13,4487.3,3962.5303,190,17320,396.3,448730,3568049100,3962.5303,
  POGhosts,      ONE_MODULE,14,8878.8,5088.5866,380,17720,508.9,887880,10446786600,5088.5866,
  POGhosts,      ONE_MODULE,15,7623.3,5146.4296,420,20320,514.6,762330,8433558300,5146.4296,
  POGhosts,      ONE_MODULE,16,5412.8,4449.959,210,16370,445,541280,4890251800,4449.959,
  POGhosts,      ONE_MODULE,17,4323.1,4111.8036,310,18490,411.2,432310,3542705300,4111.8036,
  POGhosts,      ONE_MODULE,18,6679.9,4628.7273,330,16520,462.9,667990,6583192900,4628.7273,
  POGhosts,      ONE_MODULE,19,6016.9,4300.3748,270,16900,430,601690,5451137700,4300.3748,
  POGhosts,     TWO_MODULES,0,5758.4,4150.7898,160,16440,415.1,575840,5021593600,4150.7898,420.894436
  POGhosts,     TWO_MODULES,1,1969.5,3025.9622,130,16810,302.6,196950,1294381300,3025.9622,
  POGhosts,     TWO_MODULES,2,8830.7,4654.525,510,17520,465.5,883070,9942921900,4654.525,
  POGhosts,     TWO_MODULES,3,6991.3,4014.9022,250,18300,401.5,699130,6483652100,4014.9022,
  POGhosts,     TWO_MODULES,4,6153.8,4577.3306,120,15810,457.7,615380,5861169000,4577.3306,
  POGhosts,     TWO_MODULES,5,4192.4,4628.6213,310,17320,462.9,419240,3878611200,4628.6213,
  POGhosts,     TWO_MODULES,6,3608,3566.8292,280,15800,356.7,360800,2561271200,3566.8292,
  POGhosts,     TWO_MODULES,7,2949.8,3318.6422,140,13920,331.9,294980,1960457200,3318.6422,
  POGhosts,     TWO_MODULES,8,6382.7,4568.4473,310,16310,456.8,638270,6140086300,4568.4473,
  POGhosts,     TWO_MODULES,9,4764.1,4037.802,310,15880,403.8,476410,3883745500,4037.802,
  POGhosts,     TWO_MODULES,10,6601.4,4623.7317,140,18800,462.4,660140,6474358800,4623.7317,
  POGhosts,     TWO_MODULES,11,5652.3,4656.904,190,16840,465.7,565230,5341838300,4656.904,
  POGhosts,     TWO_MODULES,12,5246.4,4558.8,90,16720,455.9,524640,4809954400,4558.8,
  POGhosts,     TWO_MODULES,13,6365.1,4722.4701,320,17520,472.2,636510,6259320500,4722.4701,
  POGhosts,     TWO_MODULES,14,2737.8,3353.8199,280,16640,335.4,273780,1863117600,3353.8199,
  POGhosts,     TWO_MODULES,15,2858.2,3428.1277,200,13620,342.8,285820,1980384600,3428.1277,
  POGhosts,     TWO_MODULES,16,2498.8,3194.9826,200,13930,319.5,249880,1634983600,3194.9826,
  POGhosts,     TWO_MODULES,17,6815.4,4648.8948,100,18120,464.9,681540,6784577800,4648.8948,
  POGhosts,     TWO_MODULES,18,4034.3,4009.0981,310,17990,400.9,403430,3218771500,4009.0981,
  POGhosts,     TWO_MODULES,19,6953.7,4768.8354,280,16080,476.9,695370,7086831700,4768.8354,
  POGhosts,   THREE_MODULES,0,4087.2,3979.5685,190,17310,398,408720,3238380000,3979.5685,517.8604275
  POGhosts,   THREE_MODULES,1,1279.6,2424.5245,110,13850,242.5,127960,745691200,2424.5245,
  POGhosts,   THREE_MODULES,2,2434.9,3266.3257,150,15320,326.6,243490,1649093300,3266.3257,
  POGhosts,   THREE_MODULES,3,3444.7,3735.6177,140,15600,373.6,344470,2568124900,3735.6177,
  POGhosts,   THREE_MODULES,4,3167.8,4017.9716,160,16120,401.8,316780,2601761200,4017.9716,
  POGhosts,   THREE_MODULES,5,3486.8,3646.8622,240,16220,364.7,348680,2532438200,3646.8622,
  POGhosts,   THREE_MODULES,6,8802.5,4816.1233,240,17770,481.6,880250,10044709900,4816.1233,
  POGhosts,   THREE_MODULES,7,2090.3,2964.6007,250,16100,296.5,209030,1307032300,2964.6007,
  POGhosts,   THREE_MODULES,8,6742.4,4688.6065,210,17520,468.9,674240,6722315800,4688.6065,
  POGhosts,   THREE_MODULES,9,2043.1,2660.4783,210,15100,266,204310,1118162100,2660.4783,
  POGhosts,   THREE_MODULES,10,2802.7,3439.6435,110,14610,344,280270,1956796300,3439.6435,
  POGhosts,   THREE_MODULES,11,4235.6,4036.3248,180,15320,403.6,423560,3406930600,4036.3248,
  POGhosts,   THREE_MODULES,12,6843.4,4513.9296,140,17520,451.4,684340,6700392800,4513.9296,
  POGhosts,   THREE_MODULES,13,5310.5,4537.6836,160,16320,453.8,531050,4858607700,4537.6836,
  POGhosts,   THREE_MODULES,14,3637.9,3939.8506,170,17090,394,363790,2860151500,3939.8506,
  POGhosts,   THREE_MODULES,15,6336.6,4808.5803,300,15920,480.9,633660,6304372000,4808.5803,
  POGhosts,   THREE_MODULES,16,6917.1,4916.0207,70,16380,491.6,691710,7177185900,4916.0207,
  POGhosts,   THREE_MODULES,17,5985.4,4305.8631,180,14870,430.6,598540,5418006600,4305.8631,
  POGhosts,   THREE_MODULES,18,6834.1,4532.6972,370,16520,453.3,683410,6704481300,4532.6972,
  POGhosts,   THREE_MODULES,19,9269.3,4281.4331,230,17520,428.1,926930,10406728500,4281.4331,
  POGhosts, THREE_MULTITASK,0,5013.7,4531.1977,120,17420,453.1,501370,4546362300,4531.1977,394.8001845
  POGhosts, THREE_MULTITASK,1,11577.8,4513.9838,2120,20320,451.4,1157780,15421774200,4513.9838,
  POGhosts, THREE_MULTITASK,2,8089,5096.8684,300,19920,509.7,808900,9115020800,5096.8684,
  POGhosts, THREE_MULTITASK,3,9660.3,4569.0685,900,19520,456.9,966030,11398901900,4569.0685
  POGhosts, THREE_MULTITASK,4,11324.9,4147.503,1290,20090,414.8,1132490,14528312300,4147.503
  POGhosts, THREE_MULTITASK,5,11375.9,4320.8279,980,20560,432.1,1137590,14789395900,4320.8279
  POGhosts, THREE_MULTITASK,6,11209,4841.7197,1240,20120,484.2,1120900,14884950800,4841.7197
  POGhosts, THREE_MULTITASK,7,9972.2,5188.9079,690,19120,518.9,997220,12610029000,5188.9079
  POGhosts, THREE_MULTITASK,8,12983.2,3878.8772,1970,18720,387.9,1298320,18345871400,3878.8772
  POGhosts, THREE_MULTITASK,9,10338.4,5133.594,340,18950,513.4,1033840,13297276400,5133.594
  POGhosts, THREE_MULTITASK,10,11521,4413.4843,1520,20320,441.3,1152100,15201749600,4413.4843
  POGhosts, THREE_MULTITASK,11,11734.7,4143.58,2550,19300,414.4,1173470,15470074700,4143.58
  POGhosts, THREE_MULTITASK,12,7974.5,4354.9378,480,17260,435.5,797450,8236847900,4354.9378
  POGhosts, THREE_MULTITASK,13,11034.8,5379.127,340,19320,537.9,1103480,15041246800,5379.127
  POGhosts, THREE_MULTITASK,14,11131.1,4485.3008,1500,19520,448.5,1113110,14381813100,4485.3008
  POGhosts, THREE_MULTITASK,15,9932,5059.3448,200,20060,505.9,993200,12398562400,5059.3448
  POGhosts, THREE_MULTITASK,16,9029.8,5402.5856,610,19320,540.3,902980,11043334000,5402.5856
  POGhosts, THREE_MULTITASK,17,10827.4,4877.6211,190,19920,487.8,1082740,14078586600,4877.6211
  POGhosts, THREE_MULTITASK,18,11626.6,4499.6755,400,21520,450,1162660,15522243600,4499.6755
  POGhosts, THREE_MULTITASK,19,10584.4,5024.5829,850,19620,502.5,1058440,13702349200,5024.5829,
  POGhosts,             MMD,0,7291,4732.8964,140,17480,473.3,729100,7533498600,4732.8964,642.946438
  POGhosts,             MMD,1,8968,4868.2922,140,18280,486.8,896800,10388829000,4868.2922,
  POGhosts,             MMD,2,6000.3,5126.6934,370,16920,512.7,600030,6202375500,5126.6934,
  POGhosts,             MMD,3,4455.8,3850.0729,140,15520,385,445580,3452898400,3850.0729,
  POGhosts,             MMD,4,2907.2,3582.7023,170,16120,358.3,290720,2115921000,3582.7023,
  POGhosts,             MMD,5,10268.4,3920.3947,880,16360,392,1026840,12065583800,3920.3947,
  POGhosts,             MMD,6,617.2,1799.8412,70,10800,180,61720,358797000,1799.8412,
  POGhosts,             MMD,7,4356.5,4614.6815,200,18420,461.5,435650,4006142500,4614.6815,
  POGhosts,             MMD,8,5522.1,4788.8938,70,19120,478.9,552210,5319775700,4788.8938,
  POGhosts,             MMD,9,2383.7,3061.2774,140,15280,306.1,238370,1495973100,3061.2774,
  POGhosts,             MMD,10,6492.7,4928.0789,210,16520,492.8,649270,6619825500,4928.0789,
  POGhosts,             MMD,11,9627.8,4449.0704,460,18750,444.9,962780,11229081800,4449.0704,
  POGhosts,             MMD,12,4120.5,4355.6754,100,18120,435.6,412050,3576070900,4355.6754,
  POGhosts,             MMD,13,8448.2,4679.4508,420,19320,467.9,844820,9305037000,4679.4508,
  POGhosts,             MMD,14,3068.7,3055.5076,280,14320,305.6,306870,1865968500,3055.5076,
  POGhosts,             MMD,15,6374.2,4130.2993,160,16720,413,637420,5751920400,4130.2993,
  POGhosts,             MMD,16,953,1511.6888,120,9950,151.2,95300,317056000,1511.6888,
  POGhosts,             MMD,17,2511,3053.835,160,12790,305.4,251100,1553777000,3053.835,
  POGhosts,             MMD,18,1687.6,2702.0868,110,15020,270.2,168760,1007625400,2702.0868,
  POGhosts,             MMD,19,4327.1,4287.6344,100,15740,428.8,432710,3692376500,4287.6344,
  COGhosts,      ONE_MODULE,0,1546.4,1282.4657,260,6320,128.2,154640,401962400,1282.4657,582.4585805
  COGhosts,      ONE_MODULE,1,810.3,1057.6269,180,6680,105.8,81030,176397500,1057.6269,
  COGhosts,      ONE_MODULE,2,1188.9,1374.5015,70,6780,137.5,118890,328384500,1374.5015,
  COGhosts,      ONE_MODULE,3,1461,1970.8909,210,12520,197.1,146100,598008800,1970.8909,
  COGhosts,      ONE_MODULE,4,1814.3,1666.8765,290,11210,166.7,181430,604237700,1666.8765,
  COGhosts,      ONE_MODULE,5,1997.7,1883.0739,280,10850,188.3,199770,750131300,1883.0739,
  COGhosts,      ONE_MODULE,6,6919.9,4143.7687,390,15720,414.4,691990,6488412700,4143.7687,
  COGhosts,      ONE_MODULE,7,581.4,560.9282,110,3240,56.1,58140,64952000,560.9282,
  COGhosts,      ONE_MODULE,8,5181.2,4257.8921,140,18320,425.8,518120,4479318200,4257.8921,
  COGhosts,      ONE_MODULE,9,449.6,322.0732,100,2420,32.2,44960,30483400,322.0732,
  COGhosts,      ONE_MODULE,10,634.5,946.5347,90,6080,94.7,63450,128955900,946.5347,
  COGhosts,      ONE_MODULE,11,6117.4,4344.6985,510,21050,434.5,611740,5611022400,4344.6985,
  COGhosts,      ONE_MODULE,12,580.1,638.7749,150,5240,63.9,58010,74046900,638.7749,
  COGhosts,      ONE_MODULE,13,556.3,572.2835,120,3760,57.2,55630,63370300,572.2835,
  COGhosts,      ONE_MODULE,14,970,1542.2016,120,9520,154.2,97000,329550200,1542.2016,
  COGhosts,      ONE_MODULE,15,6687.4,3621.3661,570,14720,362.1,668740,5770446800,3621.3661,
  COGhosts,      ONE_MODULE,16,8585.6,2879.6539,2050,14920,288,858560,8192201000,2879.6539,
  COGhosts,      ONE_MODULE,17,1074.6,1112.3625,160,5290,111.2,107460,237974200,1112.3625,
  COGhosts,      ONE_MODULE,18,3267.2,2901.7494,130,11950,290.2,326720,1901054400,2901.7494,
  COGhosts,      ONE_MODULE,19,624.3,840.0929,200,7050,84,62430,108844900,840.0929,
  COGhosts,     TWO_MODULES,0,6762.6,5043.9085,190,17900,504.4,676260,7091936200,5043.9085,564.7069285
  COGhosts,     TWO_MODULES,1,4690.9,3337.8703,110,16500,333.8,469090,3303450700,3337.8703,
  COGhosts,     TWO_MODULES,2,505.7,477.6103,130,3470,47.8,50570,48156300,477.6103,
  COGhosts,     TWO_MODULES,3,5745.2,4406.0203,140,15520,440.6,574520,5222620800,4406.0203,
  COGhosts,     TWO_MODULES,4,480.1,415.9193,70,3650,41.6,48010,40175500,415.9193,
  COGhosts,     TWO_MODULES,5,5273.1,3492.6771,200,13960,349.3,527310,3988238900,3492.6771,
  COGhosts,     TWO_MODULES,6,654.9,627.2652,160,4050,62.7,65490,81842100,627.2652,
  COGhosts,     TWO_MODULES,7,7541.8,3498.0654,760,14320,349.8,754180,6899284400,3498.0654,
  COGhosts,     TWO_MODULES,8,587.6,815.6811,50,5500,81.6,58760,100395600,815.6811,
  COGhosts,     TWO_MODULES,9,574.4,566.9506,100,3780,56.7,57440,64815400,566.9506,
  COGhosts,     TWO_MODULES,10,1675.8,1474.6896,250,6010,147.5,167580,496126800,1474.6896,
  COGhosts,     TWO_MODULES,11,6827.5,3903.0882,300,16120,390.3,682750,6169651300,3903.0882,
  COGhosts,     TWO_MODULES,12,779.9,1174.8497,90,8370,117.5,77990,197471300,1174.8497,
  COGhosts,     TWO_MODULES,13,1068.4,1218.0575,80,5650,121.8,106840,261030600,1218.0575,
  COGhosts,     TWO_MODULES,14,2645.4,3130.9531,190,16120,313.1,264540,1670298000,3130.9531,
  COGhosts,     TWO_MODULES,15,917,1131.3793,120,8380,113.1,91700,210810800,1131.3793,
  COGhosts,     TWO_MODULES,16,1353.7,1482.0036,110,7780,148.2,135370,400687500,1482.0036,
  COGhosts,     TWO_MODULES,17,4727.2,3528.3378,110,13120,352.8,472720,3467109600,3528.3378,
  COGhosts,     TWO_MODULES,18,1899.6,2909.8485,160,15260,291,189960,1199102600,2909.8485,
  COGhosts,     TWO_MODULES,19,608,711.8137,160,4170,71.2,60800,87127600,711.8137,
  COGhosts,   THREE_MODULES,0,1494.6,1662.4835,90,9820,166.2,149460,497004200,1662.4835,584.4181177
  COGhosts,   THREE_MODULES,1,3208.7,2732.265,290,14000,273.2,320870,1768637500,2732.265,
  COGhosts,   THREE_MODULES,2,8182.7,3862.2263,1090,16920,386.2,818270,8172420300,3862.2263,
  COGhosts,   THREE_MODULES,3,1744.8,1667.7145,200,8600,166.8,174480,579778600,1667.7145
  COGhosts,   THREE_MODULES,4,857.5,1088.0567,80,7950,108.8,85750,190733500,1088.0567
  COGhosts,   THREE_MODULES,5,944.4,1031.3151,230,5420,103.1,94440,194486600,1031.3151
  COGhosts,   THREE_MODULES,6,1770.2,1919.7206,130,8510,192,177020,678208200,1919.7206
  COGhosts,   THREE_MODULES,7,1114.3,2132.3763,200,13400,213.2,111430,574322300,2132.3763
  COGhosts,   THREE_MODULES,8,5947.7,3460.2247,290,17840,346,594770,4722855900,3460.2247
  COGhosts,   THREE_MODULES,9,7504.5,4513.6897,180,17080,451.4,750450,7648718100,4513.6897
  COGhosts,   THREE_MODULES,10,1204.8,1381.7033,240,7810,138.2,120480,334155600,1381.7033
  COGhosts,   THREE_MODULES,11,3740.9,3009.9119,210,13650,301,374090,2296330700,3009.9119
  COGhosts,   THREE_MODULES,12,1025.7,955.5169,210,5190,95.6,102570,195594300,955.5169
  COGhosts,   THREE_MODULES,13,1483.7,2043.0447,160,11550,204.3,148370,633365700,2043.0447
  COGhosts,   THREE_MODULES,14,1236.5,1459.7844,40,5580,146,123650,363859300,1459.7844
  COGhosts,   THREE_MODULES,15,8710.7,4105.1016,730,16920,410.5,871070,9255963500,4105.1016
  COGhosts,   THREE_MODULES,16,725.8,1209.1571,140,9250,120.9,72580,197422600,1209.1571
  COGhosts,   THREE_MODULES,17,898,1380.3293,180,9050,138,89800,269266000,1380.3293
  COGhosts,   THREE_MODULES,18,1825.8,2542.4541,150,13870,254.2,182580,973297800,2542.4541
  COGhosts,   THREE_MODULES,19,3175.6,3789.4104,150,18720,378.9,317560,2430047000,3789.4104,
  COGhosts, THREE_MULTITASK,0,9519.5,5145.267,500,21320,514.5,951950,11682991500,5145.267,568.0949737
  COGhosts, THREE_MULTITASK,1,6065.7,3934.7725,290,18260,393.5,606570,5212032700,3934.7725,
  COGhosts, THREE_MULTITASK,2,6309.3,4882.0331,250,16590,488.2,630930,6340317100,4882.0331,
  COGhosts, THREE_MULTITASK,3,6070.6,3709.5759,660,16690,371,607060,5047552800,3709.5759,
  COGhosts, THREE_MULTITASK,4,6902.5,4410.5109,280,17920,441.1,690250,6690258700,4410.5109,
  COGhosts, THREE_MULTITASK,5,9103.2,4666.7363,280,17720,466.7,910320,10442889400,4666.7363,
  COGhosts, THREE_MULTITASK,6,1219.4,2431.7395,280,15880,243.2,121940,734116000,2431.7395,
  COGhosts, THREE_MULTITASK,7,5193.4,4018.6354,380,17230,401.9,519340,4295934000,4018.6354,
  COGhosts, THREE_MULTITASK,8,8808.9,5036.8442,360,18120,503.7,880890,10271282100,5036.8442,
  COGhosts, THREE_MULTITASK,9,6433.7,4052.4258,210,16920,405.2,643370,5765042900,4052.4258,
  COGhosts, THREE_MULTITASK,10,1717.5,1807.6584,160,10870,180.8,171750,618475900,1807.6584,
  COGhosts, THREE_MULTITASK,11,8973.4,4570.0919,1500,19880,457,897340,10119879000,4570.0919,
  COGhosts, THREE_MULTITASK,12,9580.1,4497.487,1010,20120,449.7,958010,11180343100,4497.487,
  COGhosts, THREE_MULTITASK,13,6188.8,3578.3102,940,16920,357.8,618880,5097750600,3578.3102,
  COGhosts, THREE_MULTITASK,14,4494.1,3975.1412,280,16830,397.5,449410,3584066500,3975.1412,
  COGhosts, THREE_MULTITASK,15,10460.7,5266.2003,840,17920,526.6,1046070,13688178100,5266.2003,
  COGhosts, THREE_MULTITASK,16,7825.2,4297.4727,280,19120,429.7,782520,7951734400,4297.4727,
  COGhosts, THREE_MULTITASK,17,4639.8,3699.763,270,15800,370,463980,3507910800,3699.763,
  COGhosts, THREE_MULTITASK,18,6378.3,3911.0902,210,15530,391.1,637830,5582637100,3911.0902,
  COGhosts, THREE_MULTITASK,19,3718.4,2126.4461,310,11450,212.6,371840,1830305400,2126.4461,
  COGhosts,             MMD,0,1699.9,1864.5266,80,9220,186.5,169990,633135500,1864.5266,441.2656315
  COGhosts,             MMD,1,1467.4,1692.3229,190,7710,169.2,146740,498858000,1692.3229,
  COGhosts,             MMD,2,5201.7,3526.9981,270,16050,352.7,520170,3937300100,3526.9981,
  COGhosts,             MMD,3,3018.8,3056.0866,140,13220,305.6,301880,1835942200,3056.0866,
  COGhosts,             MMD,4,2583.7,3023.0444,200,18300,302.3,258370,1572291500,3023.0444,
  COGhosts,             MMD,5,2377.4,1625.0816,280,7200,162.5,237740,826651200,1625.0816,
  COGhosts,             MMD,6,3698.6,2654.0722,240,10730,265.4,369860,2065330000,2654.0722,
  COGhosts,             MMD,7,4184.8,3392.505,70,14170,339.3,418480,2890655000,3392.505,
  COGhosts,             MMD,8,8060.4,4361.2302,340,16520,436.1,806040,8380017400,4361.2302,
  COGhosts,             MMD,9,1178.3,1740.6391,70,9050,174.1,117830,438791700,1740.6391,
  COGhosts,             MMD,10,3729.2,3942.7111,260,17520,394.3,372920,2929645400,3942.7111,
  COGhosts,             MMD,11,1595.8,1988.2972,200,13170,198.8,159580,646037000,1988.2972
  COGhosts,             MMD,12,2149.6,2459.3881,190,10820,245.9,214960,1060888400,2459.3881
  COGhosts,             MMD,13,897.1,1238.7133,80,7240,123.9,89710,232385500,1238.7133
  COGhosts,             MMD,14,6176.2,4366.46,140,18720,436.6,617620,5702076000,4366.46
  COGhosts,             MMD,15,591,679.7987,150,4180,68,59100,80678600,679.7987
  COGhosts,             MMD,16,1774,1992.5574,280,8910,199.3,177400,707765800,1992.5574
  COGhosts,             MMD,17,3092.8,2898.3757,110,13920,289.8,309280,1788198800,2898.3757
  COGhosts,             MMD,18,973.8,1074.7711,170,6160,107.5,97380,209186800,1074.7711
  COGhosts,             MMD,19,592.3,603.0342,100,3540,60.3,59230,71083300,603.0342
